tweet_id,favorites,retweets,user_followers,user_favourites,date_time
823719002937630720,0,12631,6742844,133084,2017-01-24 02:28:08
823699002998870016,13631,2705,6742844,133084,2017-01-24 01:08:40
823581115634085888,14137,2972,6742844,133084,2017-01-23 17:20:14
823333489516937216,759,29,6742844,133084,2017-01-23 00:56:15
823322678127919110,17099,4517,6742844,133084,2017-01-23 00:13:17
823269594223824897,0,11070,6742844,133084,2017-01-22 20:42:21
822975315408461824,18792,3863,6742844,133084,2017-01-22 01:12:59
822872901745569793,143736,49286,6742844,133084,2017-01-21 18:26:02
822859134160621569,14327,2560,6742844,133084,2017-01-21 17:31:20
822647212903690241,0,7186,6742844,133084,2017-01-21 03:29:14
822610361945911296,16025,3326,6742844,133084,2017-01-21 01:02:48
822489057087389700,19717,7186,6742844,133084,2017-01-20 17:00:46
822462944365645825,31120,16606,6742844,133084,2017-01-20 15:17:01
822244816520155136,38072,11070,6742844,133084,2017-01-20 00:50:15
822163064745328640,0,5415,6742844,133084,2017-01-19 19:25:24
821886076407029760,12351,2633,6742844,133084,2017-01-19 01:04:45
821813639212650496,0,3749,6742844,133084,2017-01-18 20:16:54
821765923262631936,9166,1864,6742844,133084,2017-01-18 17:07:18
821522889702862852,8709,1982,6742844,133084,2017-01-18 01:01:34
821421320206483457,0,6279,6742844,133084,2017-01-17 18:17:58
821407182352777218,12820,4902,6742845,133084,2017-01-17 17:21:47
821153421864615936,276,10,6742845,133084,2017-01-17 00:33:26
821149554670182400,9513,2264,6742845,133084,2017-01-17 00:18:04
821107785811234820,10446,2397,6742845,133084,2017-01-16 21:32:06
821044531881721856,13752,2569,6742845,133084,2017-01-16 17:20:45
820837357901512704,0,7515,6742845,133084,2017-01-16 03:37:31
820749716845686786,34340,11183,6742845,133084,2017-01-15 21:49:15
820690176645140481,13289,3625,6742845,133084,2017-01-15 17:52:40
820494788566847489,0,636,6742845,133084,2017-01-15 04:56:16
820446719150292993,0,2907,6742845,133084,2017-01-15 01:45:15
820314633777061888,3632,636,6742845,133084,2017-01-14 17:00:24
820078625395449857,21543,7061,6742845,133084,2017-01-14 01:22:35
820013781606658049,0,1328,6742845,133084,2017-01-13 21:04:55
819952236453363712,5802,1328,6742845,133084,2017-01-13 17:00:21
819924195358416896,14012,5451,6742845,133084,2017-01-13 15:08:56
819711362133872643,14635,3526,6742845,133084,2017-01-13 01:03:12
819588359383371776,10406,2215,6742845,133084,2017-01-12 16:54:26
819347104292290561,7858,1349,6742845,133084,2017-01-12 00:55:47
819238181065359361,2497,453,6742845,133084,2017-01-11 17:42:57
819227688460238848,25153,7515,6742845,133084,2017-01-11 17:01:16
819015337530290176,0,41125,6742845,133084,2017-01-11 02:57:27
819015331746349057,0,21225,6742845,133084,2017-01-11 02:57:26
819006400881917954,49091,21225,6742845,133084,2017-01-11 02:21:57
819004803107983360,93887,41125,6742845,133084,2017-01-11 02:15:36
818646164899774465,0,23434,6742845,133084,2017-01-10 02:30:30
818627210458333184,24166,8361,6742845,133084,2017-01-10 01:15:10
818614493328580609,10749,2907,6742845,133084,2017-01-10 00:24:38
818588835076603904,0,6937,6742845,133084,2017-01-09 22:42:41
